2011-05-21,56,89,7,2,Fog,2011-05-21,1,0,45,BOS,CHC,24,21,3,0.5,N,37798,-
2011-05-22,51,84,9,9,,2011-05-22,1,0,46,BOS,CHC,25,21,3,0.5,N,37688,+
2011-05-22,51,84,9,9,,2011-05-22,1,0,46,BOS,CHC,25,21,3,0.5,N,37688,+
2011-05-30,76,69,8,9,,2011-05-30,0,0,54,BOS,CHW,30,24,1,Tied,N,37463,--
2011-05-30,76,69,8,9,,2011-05-30,0,0,54,BOS,CHW,30,24,1,Tied,N,37463,--
2011-05-31,69,64,8,10,,2011-05-31,0,0,55,BOS,CHW,30,25,2,1.0,N,37269,---
2011-05-31,69,64,8,10,,2011-05-31,0,0,55,BOS,CHW,30,25,2,1.0,N,37269,---
2011-06-01,73,76,14,8,Rain-Hail-Thunderstorm,2011-06-01,0,0,56,BOS,CHW,30,26,2,2.0,D,37321,----
2011-06-01,73,76,14,8,Rain-Hail-Thunderstorm,2011-06-01,0,0,56,BOS,CHW,30,26,2,2.0,D,37321,----
2011-06-03,63,50,14,10,,2011-06-03,0,0,57,BOS,OAK,31,26,2,1.0,N,37808,+
2011-06-03,63,50,14,10,,2011-06-03,0,0,57,BOS,OAK,31,26,2,1.0,N,37808,+
2011-06-04,58,60,9,10,,2011-06-04,1,0,58,BOS,OAK,32,26,2,1.0,D,37485,++
2011-06-04,58,60,9,10,,2011-06-04,1,0,58,BOS,OAK,32,26,2,1.0,D,37485,++
2011-06-05,56,69,7,10,,2011-06-05,1,0,59,BOS,OAK,33,26,2,1.0,D,37796,+++
2011-06-05,56,69,7,10,,2011-06-05,1,0,59,BOS,OAK,33,26,2,1.0,D,37796,+++
2011-06-17,70,70,12,10,Rain,2011-06-17,0,0,69,BOS,MIL,42,27,1,up 2.5,N,37833,+++
2011-06-17,70,70,12,10,Rain,2011-06-17,0,0,69,BOS,MIL,42,27,1,up 2.5,N,37833,+++
2011-06-18,74,70,8,10,Rain-Thunderstorm,2011-06-18,1,0,70,BOS,MIL,42,28,1,up 1.5,N,38175,-
2011-06-18,74,70,8,10,Rain-Thunderstorm,2011-06-18,1,0,70,BOS,MIL,42,28,1,up 1.5,N,38175,-
2011-06-19,74,49,11,10,,2011-06-19,1,0,71,BOS,MIL,43,28,1,up 1.5,D,37903,+
2011-06-19,74,49,11,10,,2011-06-19,1,0,71,BOS,MIL,43,28,1,up 1.5,D,37903,+
2011-06-20,73,59,6,10,,2011-06-20,0,0,72,BOS,SDP,44,28,1,up 1.5,N,38020,++
2011-06-20,73,59,6,10,,2011-06-20,0,0,72,BOS,SDP,44,28,1,up 1.5,N,38020,++
2011-06-21,71,58,9,10,,2011-06-21,0,0,73,BOS,SDP,44,29,1,up 1.0,N,38422,-
2011-06-21,71,58,9,10,,2011-06-21,0,0,73,BOS,SDP,44,29,1,up 1.0,N,38422,-
2011-06-22,68,91,8,3,Rain,2011-06-22,0,0,74,BOS,SDP,44,30,1,up 0.5,D,37419,--
2011-06-22,68,91,8,3,Rain,2011-06-22,0,0,74,BOS,SDP,44,30,1,up 0.5,D,37419,--
2011-07-04,80,65,7,8,,2011-07-04,0,0,84,BOS,TOR,49,35,2,1.5,D,38072,-
