Date,Weekend,Promotion,Gm#,Tm,Opp,W-L,Rank,GB,D/N,Attendance,Streak
2013-4-8,0,0,7,BOS,BAL,5-2,1,up 2.0,D,37008,++
2013-4-10,0,0,8,BOS,BAL,5-3,1,up 1.0,N,30862,-
2013-4-11,0,0,9,BOS,BAL,5-4,1,Tied,N,27704,--
2013-4-13,1,0,10,BOS,TBR,6-4,1,up 0.5,D,33039,+
2013-4-14,1,0,11,BOS,TBR,7-4,1,up 1.0,D,35198,++
2013-4-15,0,0,12,BOS,TBR,8-4,1,up 1.5,D,37449,+++
2013-4-20,1,0,16,BOS,KCR,12-4,1,up 2.0,D,35152,+++++++
2013-4-21,1,0,17,BOS,KCR,12-5,1,up 1.5,D,31483,-
2013-4-21,1,0,18,BOS,KCR,12-6,1,up 1.5,N,33270,--
2013-4-22,0,0,19,BOS,OAK,13-6,1,up 2.0,N,28926,+
2013-4-23,0,0,20,BOS,OAK,13-7,1,up 1.0,N,29006,-
2013-4-24,0,0,21,BOS,OAK,14-7,1,up 2.0,D,29274,+
2013-4-25,0,0,22,BOS,HOU,15-7,1,up 2.0,N,30093,++
2013-4-26,0,0,23,BOS,HOU,16-7,1,up 2.0,N,29312,+++
2013-4-27,1,0,24,BOS,HOU,17-7,1,up 2.0,N,34726,++++
2013-4-28,1,0,25,BOS,HOU,18-7,1,up 2.5,D,36527,+++++
2013-5-6,0,0,32,BOS,MIN,21-11,1,up 2.0,N,31088,+
2013-5-7,0,0,33,BOS,MIN,21-12,1,up 1.0,N,30549,-
2013-5-8,0,0,34,BOS,MIN,21-13,1,Tied,N,29969,--
2013-5-9,0,0,35,BOS,MIN,21-14,1,Tied,N,31571,---
2013-5-10,0,0,36,BOS,TOR,22-14,1,Tied,N,33606,+
2013-5-11,1,0,37,BOS,TOR,22-15,2,1.0,D,36543,-
2013-5-12,1,0,38,BOS,TOR,22-16,3,2.0,D,35532,--
2013-5-23,0,0,48,BOS,CLE,28-20,2,1.0,N,35254,-
2013-5-24,0,0,49,BOS,CLE,29-20,2,1.0,N,34074,+
2013-5-25,1,0,50,BOS,CLE,30-20,2,1.0,D,36504,++
2013-5-26,1,0,51,BOS,CLE,31-20,1,Tied,D,37046,+++
2013-5-27,0,0,52,BOS,PHI,32-20,1,up 1.0,N,33627,++++
2013-5-28,0,0,53,BOS,PHI,32-21,1,up 1.0,N,33463,-
2013-6-4,0,0,59,BOS,TEX,36-23,1,up 2.5,N,32035,+++
2013-6-5,0,0,60,BOS,TEX,36-24,1,up 1.5,N,33296,-
2013-6-6,0,0,61,BOS,TEX,37-24,1,up 1.5,N,35352,+
2013-6-8,1,0,62,BOS,LAA,37-25,1,up 1.5,D,34499,-
2013-6-8,1,0,63,BOS,LAA,38-25,1,up 1.5,N,36518,+
2013-6-9,1,0,64,BOS,LAA,39-25,1,up 1.5,D,37054,++
2013-6-18,0,0,72,BOS,TBR,43-29,1,up 2.5,D,33430,+
2013-6-18,0,0,73,BOS,TBR,44-29,1,up 2.5,N,32156,++
2013-6-19,0,0,74,BOS,TBR,44-30,1,up 1.5,N,35710,-
2013-6-25,0,0,79,BOS,COL,46-33,1,up 2.5,N,36286,+
2013-6-26,0,0,80,BOS,COL,47-33,1,up 3.5,D,34632,++
2013-6-27,0,0,81,BOS,TOR,48-33,1,up 3.5,N,34750,+++
2013-6-28,0,0,82,BOS,TOR,49-33,1,up 3.5,N,36383,++++
2013-6-29,1,0,83,BOS,TOR,49-34,1,up 2.5,D,37437,-
2013-6-30,1,0,84,BOS,TOR,50-34,1,up 2.5,D,37425,+
2013-7-2,0,0,85,BOS,SDP,51-34,1,up 3.5,N,36498,++
2013-7-3,0,0,86,BOS,SDP,52-34,1,up 3.5,N,36911,+++
2013-7-4,0,0,87,BOS,SDP,53-34,1,up 4.5,D,37607,++++
2013-7-19,0,0,98,BOS,NYY,59-39,1,up 2.5,N,38130,+
2013-7-20,1,0,99,BOS,NYY,59-40,1,up 1.5,D,37601,-
2013-7-21,1,0,100,BOS,NYY,60-40,1,up 1.5,N,38138,+
2013-7-22,0,0,101,BOS,TBR,60-41,1,up 0.5,N,35016,-
2013-7-23,0,0,102,BOS,TBR,61-41,1,up 1.5,N,34609,+
2013-7-24,0,0,103,BOS,TBR,61-42,1,up 0.5,N,36514,-
2013-7-29,0,0,107,BOS,TBR,63-44,2,0.5,N,37242,-
