Date,Weekend,Promotion,Gm#,Tm,Opp,W-L,Rank,GB,D/N,Attendance,Streak
2012-8-3,0,0,109,BOS,CLE,68-41,1,up 1.0,N,38172,++
2012-8-4,0,0,110,BOS,CLE,68-42,1,Tied,N,38477,-
2012-8-5,0,0,111,BOS,NYY,68-43,2,1.0,N,38006,--
2012-8-6,1,0,112,BOS,NYY,69-43,1,Tied,D,37416,+
2012-8-7,1,0,113,BOS,NYY,70-43,1,up 1.0,N,38189,++
2012-8-16,0,0,120,BOS,TBR,74-46,2,0.5,D,38525,+
2012-8-16,0,0,121,BOS,TBR,74-47,2,0.5,N,38278,-
2012-8-17,0,0,122,BOS,TBR,74-48,2,0.5,D,37747,--
2012-8-26,0,0,131,BOS,OAK,80-51,1,up 1.0,N,38239,-
2012-8-27,1,0,132,BOS,OAK,81-51,1,up 2.0,D,37314,+
2012-8-27,1,0,133,BOS,OAK,82-51,1,up 2.0,N,37039,++
2012-8-30,0,0,134,BOS,NYY,82-52,1,up 0.5,N,37773,-
2012-8-31,0,0,135,BOS,NYY,83-52,1,up 1.5,N,38021,+
2012-9-1,0,0,136,BOS,NYY,83-53,1,up 0.5,N,38074,-
2012-9-2,0,0,137,BOS,TEX,83-54,2,0.5,N,38083,--
2012-9-3,1,0,138,BOS,TEX,84-54,2,0.5,D,37806,+
2012-9-4,1,0,139,BOS,TEX,84-55,2,1.5,D,37744,-
2012-9-13,0,0,147,BOS,TOR,86-61,2,4.0,N,38020,+
2012-9-14,0,0,148,BOS,TOR,86-62,2,4.0,D,37087,-
2012-9-15,0,0,149,BOS,TBR,86-63,2,4.5,N,38071,--
2012-9-16,0,0,150,BOS,TBR,87-63,2,3.5,N,38019,+
2012-9-17,1,0,151,BOS,TBR,87-64,2,4.5,D,37682,-
2012-9-18,1,0,152,BOS,TBR,87-65,2,4.5,D,37613,--
2012-9-19,0,0,153,BOS,BAL,87-66,2,5.0,D,37885,---
2012-9-19,0,0,154,BOS,BAL,88-66,2,5.0,N,37261,+
2012-9-20,0,0,155,BOS,BAL,88-67,2,6.0,N,37414,-
2012-9-21,0,0,156,BOS,BAL,88-68,2,7.5,N,38004,--
