Date,Weekend,Promotion,Gm#,Tm,Opp,W-L,Rank,GB,D/N,Attendance,Streak
2012-4-8,0,0,7,BOS,NYY,1-6,4,4.5,D,37178,+
2012-4-9,1,0,8,BOS,NYY,1-7,4,5.0,D,37488,-
2012-4-10,1,0,9,BOS,NYY,2-7,4,4.0,N,37861,+
2012-4-11,0,0,10,BOS,TBR,2-8,4,4.5,N,37568,-
2012-4-12,0,0,11,BOS,TBR,2-9,5,5.0,N,37015,--
2012-4-15,0,0,12,BOS,TOR,2-10,5,5.0,N,37467,---
2012-4-16,1,0,13,BOS,TOR,3-10,5,5.0,D,37310,+
2012-4-17,1,0,14,BOS,TOR,4-10,5,5.0,D,37802,++
2012-4-18,0,0,15,BOS,TOR,5-10,5,4.5,D,37916,+++
2012-4-29,0,0,25,BOS,SEA,11-14,5,4.0,N,37845,-
2012-4-30,1,0,26,BOS,SEA,11-15,5,5.0,N,37901,--
2012-5-1,1,0,27,BOS,SEA,12-15,5,5.0,D,37079,+
2012-5-2,0,0,28,BOS,LAA,13-15,4,5.0,N,37017,++
2012-5-3,0,0,29,BOS,LAA,14-15,3,4.0,N,37043,+++
2012-5-4,0,0,30,BOS,LAA,14-16,4,4.0,N,37037,-
2012-5-5,0,0,31,BOS,LAA,14-17,4,4.0,D,37013,--
2012-5-6,0,0,32,BOS,MIN,14-18,5,5.0,N,37798,---
2012-5-7,1,0,33,BOS,MIN,15-18,3,4.0,D,37234,+
2012-5-8,1,0,34,BOS,MIN,16-18,3,4.0,D,37526,++
2012-5-9,0,0,35,BOS,MIN,17-18,3,3.5,N,37276,+++
2012-5-16,0,0,41,BOS,BAL,21-20,2,3.0,N,37138,++++
2012-5-18,0,0,42,BOS,DET,22-20,3,2.5,N,37311,+++++
2012-5-19,0,0,43,BOS,DET,23-20,3,1.5,N,37660,++++++
2012-5-20,0,0,44,BOS,CHC,24-20,2,0.5,N,37140,+++++++
2012-5-21,1,0,45,BOS,CHC,24-21,3,0.5,N,37798,-
2012-5-22,1,0,46,BOS,CHC,25-21,3,0.5,N,37688,+
2012-5-30,0,0,54,BOS,CHW,30-24,1,Tied,N,37463,--
2012-5-31,0,0,55,BOS,CHW,30-25,2,1.0,N,37269,---
2012-6-1,0,0,56,BOS,CHW,30-26,2,2.0,D,37321,----
2012-6-3,0,0,57,BOS,OAK,31-26,2,1.0,N,37808,+
2012-6-4,1,0,58,BOS,OAK,32-26,2,1.0,D,37485,++
2012-6-5,1,0,59,BOS,OAK,33-26,2,1.0,D,37796,+++
2012-6-17,0,0,69,BOS,MIL,42-27,1,up 2.5,N,37833,+++
2012-6-18,1,0,70,BOS,MIL,42-28,1,up 1.5,N,38175,-
2012-6-19,1,0,71,BOS,MIL,43-28,1,up 1.5,D,37903,+
2012-6-20,0,0,72,BOS,SDP,44-28,1,up 1.5,N,38020,++
2012-6-21,0,0,73,BOS,SDP,44-29,1,up 1.0,N,38422,-
2012-6-22,0,0,74,BOS,SDP,44-30,1,up 0.5,D,37419,--
2012-7-4,0,0,84,BOS,TOR,49-35,2,1.5,D,38072,-
2012-7-5,0,0,85,BOS,TOR,50-35,2,1.5,N,37745,+
2012-7-6,0,0,86,BOS,TOR,51-35,2,0.5,N,37404,++
2012-7-7,0,0,87,BOS,BAL,52-35,1,up 0.5,N,37981,+++
2012-7-8,0,0,88,BOS,BAL,53-35,1,up 1.0,N,37729,++++
2012-7-9,1,0,89,BOS,BAL,54-35,1,up 1.0,N,38205,+++++
2012-7-10,1,0,90,BOS,BAL,55-35,1,up 1.0,D,37688,++++++
2012-7-22,0,0,97,BOS,SEA,60-37,1,up 2.0,N,38048,++
2012-7-23,1,0,98,BOS,SEA,61-37,1,up 3.0,N,38115,+++
2012-7-24,1,0,99,BOS,SEA,62-37,1,up 3.0,D,37650,++++
2012-7-25,0,0,100,BOS,KCR,62-38,1,up 2.0,N,37727,-
2012-7-26,0,0,101,BOS,KCR,63-38,1,up 2.0,N,37460,+
2012-7-27,0,0,102,BOS,KCR,64-38,1,up 3.0,N,38329,++
2012-7-28,0,0,103,BOS,KCR,64-39,1,up 2.5,D,37822,-
2012-8-1,0,0,107,BOS,CLE,66-41,1,up 1.0,N,37943,-
2012-8-2,0,0,108,BOS,CLE,67-41,1,up 1.0,N,38101,+
