Date,Weekend,Promotion,Gm#,Tm,Opp,W-L,Rank,GB,D/N,Attendance,Streak
2015-4-13,0,0,7,BOS,WSN,5-2,1,up 1.0,D,37203,+
2015-4-14,0,0,8,BOS,WSN,6-2,1,up 1.0,N,35258,++
2015-4-15,0,0,9,BOS,WSN,6-3,1,up 1.0,D,33493,-
2015-4-17,0,0,10,BOS,BAL,7-3,1,up 1.5,N,34341,+
2015-4-18,1,0,11,BOS,BAL,7-4,1,up 1.0,D,37655,-
2015-4-19,1,0,12,BOS,BAL,7-5,1,Tied,D,37761,--
2015-4-20,0,0,13,BOS,BAL,8-5,1,up 1.0,D,36829,+
2015-4-27,0,0,20,BOS,TOR,11-9,2,1.0,N,34739,+
2015-4-28,0,0,21,BOS,TOR,11-10,2,2.0,N,33920,-
2015-4-29,0,0,22,BOS,TOR,12-10,2,1.0,N,34220,+
2015-5-1,0,0,23,BOS,NYY,12-11,3,2.0,N,35444,-
2015-5-2,1,0,24,BOS,NYY,12-12,3,3.0,D,36611,--
2015-5-3,1,0,25,BOS,NYY,12-13,4,4.0,N,33198,---
2015-5-4,0,0,26,BOS,TBR,12-14,5,4.0,N,34541,----
2015-5-5,0,0,27,BOS,TBR,13-14,4,4.0,N,33688,+
2015-5-6,0,0,28,BOS,TBR,13-15,5,4.0,N,35060,-
2015-5-19,0,0,39,BOS,TEX,19-20,3,2.5,N,36580,+
2015-5-20,0,0,40,BOS,TEX,19-21,3,2.5,N,35726,-
2015-5-21,0,0,41,BOS,TEX,19-22,4,3.5,N,34945,--
2015-5-22,0,0,42,BOS,LAA,19-23,4,4.5,N,36150,---
2015-5-23,1,0,43,BOS,LAA,20-23,4,3.5,N,37735,+
2015-5-24,1,0,44,BOS,LAA,21-23,3,2.5,D,37742,++
2015-6-2,0,0,52,BOS,MIN,23-29,4,4.5,N,32622,+
2015-6-3,0,0,53,BOS,MIN,24-29,4,5.0,D,31704,++
2015-6-3,0,0,54,BOS,MIN,24-30,4,5.0,N,33291,-
2015-6-4,0,0,55,BOS,MIN,24-31,5,5.5,D,33615,--
2015-6-5,0,0,56,BOS,OAK,25-31,5,5.5,N,34910,+
2015-6-6,1,0,57,BOS,OAK,26-31,4,5.5,D,36713,++
2015-6-7,1,0,58,BOS,OAK,27-31,4,5.5,D,36913,+++
2015-6-12,0,0,62,BOS,TOR,27-35,5,7.0,N,37575,----
2015-6-13,1,0,63,BOS,TOR,27-36,5,7.0,D,37158,-----
2015-6-14,1,0,64,BOS,TOR,27-37,5,8.0,D,36296,------
2015-6-15,0,0,65,BOS,ATL,27-38,5,9.0,N,34439,-------
2015-6-16,0,0,66,BOS,ATL,28-38,5,8.0,D,35662,+
2015-6-23,0,0,72,BOS,BAL,31-41,5,9.5,N,36508,-
2015-6-24,0,0,73,BOS,BAL,32-41,5,8.5,N,37762,+
2015-6-25,0,0,74,BOS,BAL,32-42,5,9.0,D,37706,-
2015-7-3,0,0,82,BOS,HOU,37-45,5,7.0,N,37837,-
