Date,Weekend,Promotion,Gm#,Tm,Opp,W-L,Rank,GB,D/N,Attendance,Streak
2014-4-4,0,0,4,BOS,MIL,2-2,2,0.5,D,36728,-
2014-4-5,1,0,5,BOS,MIL,2-3,3,1.5,N,35729,--
2014-4-6,1,0,6,BOS,MIL,2-4,4,1.5,D,35958,---
2014-4-7,0,0,7,BOS,TEX,3-4,3,1.0,N,35842,+
2014-4-8,0,0,8,BOS,TEX,3-5,4,1.5,N,34142,-
2014-4-9,0,0,9,BOS,TEX,4-5,3,1.0,D,33585,+
2014-4-18,0,0,17,BOS,BAL,7-10,5,3.0,N,36408,-
2014-4-19,1,0,18,BOS,BAL,8-10,5,2.0,D,37689,+
2014-4-20,1,0,19,BOS,BAL,9-10,3,2.0,N,33947,++
2014-4-21,0,0,20,BOS,BAL,9-11,5,2.5,D,37513,-
2014-4-22,0,0,21,BOS,NYY,9-12,5,3.5,N,37041,--
2014-4-23,0,0,22,BOS,NYY,10-12,5,2.5,N,37015,+
2014-4-24,0,0,23,BOS,NYY,10-13,5,3.5,N,37356,-
2014-4-29,0,0,27,BOS,TBR,13-14,3,2.5,N,34794,+
2014-5-1,0,0,28,BOS,TBR,13-15,4,3.0,D,35621,-
2014-5-1,0,0,29,BOS,TBR,13-16,4,3.0,N,33465,--
2014-5-2,0,0,30,BOS,OAK,14-16,3,2.5,N,34850,+
2014-5-3,1,0,31,BOS,OAK,15-16,3,2.0,D,37042,++
2014-5-4,1,0,32,BOS,OAK,15-17,3,2.0,D,35649,-
2014-5-6,0,0,33,BOS,CIN,16-17,3,1.5,N,36004,+
2014-5-7,0,0,34,BOS,CIN,17-17,3,1.5,N,37072,++
2014-5-16,0,0,41,BOS,DET,20-21,4,2.5,N,37225,--
2014-5-17,1,0,42,BOS,DET,20-22,4,2.5,N,37608,---
2014-5-18,1,0,43,BOS,DET,20-23,4,3.0,N,35006,----
2014-5-20,0,0,44,BOS,TOR,20-24,4,3.5,N,37904,-----
2014-5-21,0,0,45,BOS,TOR,20-25,4,4.0,N,36116,------
2014-5-22,0,0,46,BOS,TOR,20-26,4,5.0,D,36018,-------
2014-5-28,0,0,52,BOS,ATL,23-29,4,8.0,N,36189,+++
2014-5-29,0,0,53,BOS,ATL,24-29,4,7.0,N,36292,++++
2014-5-30,0,0,54,BOS,TBR,25-29,4,6.0,N,35820,+++++
2014-5-31,1,0,55,BOS,TBR,26-29,4,6.0,N,37076,++++++
2014-6-1,1,0,56,BOS,TBR,27-29,4,6.0,D,37688,+++++++
2014-6-12,0,0,66,BOS,CLE,30-36,4,8.0,N,37750,+
2014-6-13,0,0,67,BOS,CLE,31-36,4,8.0,N,35772,++
2014-6-14,1,0,68,BOS,CLE,31-37,4,8.0,D,37181,-
2014-6-15,1,0,69,BOS,CLE,31-38,4,9.0,D,37356,--
2014-6-16,0,0,70,BOS,MIN,32-38,4,8.5,N,35693,+
2014-6-17,0,0,71,BOS,MIN,33-38,4,7.5,N,36835,++
2014-6-18,0,0,72,BOS,MIN,34-38,4,6.5,D,36489,+++
2014-6-30,0,0,83,BOS,CHC,38-45,4,6.5,N,37814,-
2014-7-1,0,0,84,BOS,CHC,38-46,4,7.5,N,36748,--
2014-7-2,0,0,85,BOS,CHC,38-47,4,8.5,N,37055,---
2014-7-5,1,0,86,BOS,BAL,39-47,4,8.0,D,35714,+
2014-7-5,1,0,87,BOS,BAL,39-48,4,8.0,N,36468,-
2014-7-6,1,0,88,BOS,BAL,39-49,5,9.0,D,35811,--
2014-7-7,0,0,89,BOS,CHW,39-50,5,10.0,N,35114,---
2014-7-8,0,0,90,BOS,CHW,39-51,5,10.5,N,35345,----
2014-7-9,0,0,91,BOS,CHW,40-51,5,9.5,N,36218,+
2014-7-10,0,0,92,BOS,CHW,41-51,4,9.5,D,37547,++
2014-7-18,0,0,96,BOS,KCR,44-52,4,8.5,N,37743,++
2014-7-19,1,0,97,BOS,KCR,45-52,4,8.5,N,37878,+++
2014-7-20,1,0,98,BOS,KCR,46-52,4,7.5,D,37439,++++
2014-7-28,0,0,106,BOS,TOR,48-58,5,11.0,N,37974,-
2014-7-29,0,0,107,BOS,TOR,48-59,5,12.0,N,38275,--
2014-7-30,0,0,108,BOS,TOR,48-60,5,13.0,N,38203,---
2014-8-1,0,0,109,BOS,NYY,49-60,5,12.5,N,37782,+
2014-8-2,1,0,110,BOS,NYY,49-61,5,12.5,D,37302,-
2014-8-3,1,0,111,BOS,NYY,49-62,5,13.5,N,38035,--
2014-8-14,0,0,120,BOS,HOU,55-65,5,14.5,N,38065,++++
2014-8-15,0,0,121,BOS,HOU,55-66,5,14.5,N,37016,-
2014-8-16,1,0,122,BOS,HOU,56-66,5,13.5,N,37652,+
2014-8-17,1,0,123,BOS,HOU,56-67,5,14.5,D,36717,-
2014-8-18,0,0,124,BOS,LAA,56-68,5,15.5,N,35170,--
2014-8-19,0,0,125,BOS,LAA,56-69,5,16.5,N,35471,---
2014-8-20,0,0,126,BOS,LAA,56-70,5,17.5,N,35136,----
2014-8-21,0,0,127,BOS,LAA,56-71,5,18.0,N,36160,-----
2014-8-22,0,0,128,BOS,SEA,56-72,5,18.0,N,36433,------
2014-8-23,1,0,129,BOS,SEA,56-73,5,18.0,D,36905,-------
2014-8-24,1,0,130,BOS,SEA,56-74,5,18.0,D,37022,--------
2014-9-5,0,0,141,BOS,TOR,62-79,5,20.5,N,35667,+
2014-9-6,1,0,142,BOS,TOR,63-79,5,19.5,N,36677,++
2014-9-7,1,0,143,BOS,TOR,63-80,5,20.5,D,36261,-
2014-9-8,0,0,144,BOS,BAL,63-81,5,21.5,N,35894,--
2014-9-9,0,0,145,BOS,BAL,63-82,5,22.5,N,37008,---
2014-9-10,0,0,146,BOS,BAL,63-83,5,23.5,D,35374,----
