Date,Weekend,Promotion,Gm#,Tm,Opp,W-L,Rank,GB,D/N,Attendance,Streak
2015-6-6,1,0,56,NYY,LAA,31-25,1,up 1.5,N,40096,+++++
2015-6-7,1,0,57,NYY,LAA,32-25,1,up 1.5,D,43178,++++++
2015-6-9,0,1,58,NYY,WSN,33-25,1,up 2.5,N,36613,+++++++
2015-6-10,0,1,59,NYY,WSN,33-26,1,up 1.5,D,39847,-
2015-6-17,0,1,65,NYY,MIA,35-30,2,1.0,N,43048,+
2015-6-18,0,1,66,NYY,MIA,36-30,2,1.0,N,38239,++
2015-6-19,0,0,67,NYY,DET,37-30,2,1.0,N,44588,+++
2015-6-20,1,1,68,NYY,DET,38-30,2,1.0,N,48092,++++
2015-6-21,1,0,69,NYY,DET,38-31,2,1.0,D,38691,-
2015-6-22,0,1,70,NYY,PHI,38-32,2,1.0,N,36883,--
2015-6-23,0,1,71,NYY,PHI,38-33,2,2.0,N,36198,---
2015-6-24,0,1,72,NYY,PHI,39-33,2,1.0,D,45877,+
2015-7-3,0,1,80,NYY,TBR,43-37,1,up 1.0,N,43141,++
2015-7-4,1,1,81,NYY,TBR,44-37,1,up 2.0,D,35508,+++
2015-7-5,1,0,82,NYY,TBR,44-38,1,up 1.0,D,35050,-
2015-7-7,0,0,83,NYY,OAK,44-39,1,up 1.5,N,32337,--
2015-7-8,0,1,84,NYY,OAK,45-39,1,up 2.5,N,41626,+
2015-7-9,0,0,85,NYY,OAK,46-39,1,up 3.0,D,40084,++
2015-7-17,0,0,89,NYY,SEA,49-40,1,up 4.5,N,47086,++
2015-7-18,1,1,90,NYY,SEA,49-41,1,up 3.5,D,46119,-
2015-7-19,1,1,91,NYY,SEA,50-41,1,up 4.0,D,42926,+
2015-7-21,0,0,92,NYY,BAL,51-41,1,up 4.5,N,37993,++
2015-7-22,0,0,93,NYY,BAL,52-41,1,up 5.5,N,43887,+++
2015-7-23,0,0,94,NYY,BAL,53-41,1,up 5.5,D,46875,++++
2015-8-4,0,1,105,NYY,BOS,60-45,1,up 5.5,N,48522,++
2015-8-5,0,1,106,NYY,BOS,60-46,1,up 4.5,N,47489,-
2015-8-6,0,1,107,NYY,BOS,61-46,1,up 4.5,N,48608,+
2015-8-7,0,1,108,NYY,TOR,61-47,1,up 3.5,N,42839,-
2015-8-8,1,1,109,NYY,TOR,61-48,1,up 2.5,D,45255,--
2015-8-9,1,0,110,NYY,TOR,61-49,1,up 1.5,D,42034,---
2015-8-17,0,1,117,NYY,MIN,65-52,1,up 1.0,N,38493,+
2015-8-18,0,0,118,NYY,MIN,66-52,1,up 1.0,N,38007,++
2015-8-19,0,1,119,NYY,MIN,67-52,1,up 2.0,D,38086,+++
2015-8-20,0,1,120,NYY,CLE,67-53,1,up 1.5,N,36129,-
2015-8-21,0,1,121,NYY,CLE,67-54,1,up 0.5,N,35940,--
2015-8-22,1,1,122,NYY,CLE,68-54,1,up 0.5,D,47031,+
2015-8-23,1,1,123,NYY,CLE,68-55,2,0.5,D,46945,-
2015-8-24,0,1,124,NYY,HOU,69-55,1,Tied,N,37125,+
2015-8-25,0,1,125,NYY,HOU,69-56,2,1.0,N,38015,-
2015-8-26,0,1,126,NYY,HOU,69-57,2,2.0,D,37259,--
2015-9-4,0,0,133,NYY,TBR,75-58,2,0.5,N,32530,+++
2015-9-5,1,1,134,NYY,TBR,75-59,2,1.5,D,35030,-
2015-9-6,1,0,135,NYY,TBR,76-59,2,1.5,D,35299,+
2015-9-7,0,1,136,NYY,BAL,77-59,2,0.5,D,31039,++
2015-9-8,0,1,137,NYY,BAL,77-60,2,1.5,N,30785,-
2015-9-9,0,1,138,NYY,BAL,77-61,2,1.5,N,30038,--
2015-9-11,0,0,139,NYY,TOR,77-62,2,2.5,N,40220,---
2015-9-12,1,1,140,NYY,TOR,77-63,2,4.5,D,,----
2015-9-12,1,1,141,NYY,TOR,77-64,2,4.5,N,46278,-----
2015-9-13,1,1,142,NYY,TOR,78-64,2,3.5,D,39127,+
2015-9-24,0,0,152,NYY,CHW,84-68,2,3.0,N,35132,+
2015-9-25,0,0,153,NYY,CHW,84-69,2,4.0,N,37316,-
2015-9-26,1,1,154,NYY,CHW,85-69,2,4.0,D,39134,+
2015-9-27,1,1,155,NYY,CHW,86-69,2,4.0,D,38690,++
2015-9-28,0,0,156,NYY,BOS,86-70,2,5.0,N,39476,-
2015-9-29,0,0,157,NYY,BOS,86-71,2,5.5,N,38512,--
2015-9-30,0,0,158,NYY,BOS,86-72,2,6.0,N,39328,---
2015-10-1,0,0,159,NYY,BOS,87-72,2,5.0,N,40033,+
2015-10-6,0,0,ALWC Game 1,NYY,HOU,0-1,,,N,50113,
Date,Weekend,Promotion,Gm#,Tm,Opp,W-L,Rank,GB,D/N,Attendance,Streak
2016-4-5,0,1,1,NYY,HOU,0-1,4,1.0,D,47820,-
2016-4-6,0,1,2,NYY,HOU,1-1,2,1.0,N,37493,+
2016-4-7,0,0,3,NYY,HOU,2-1,2,1.0,D,30003,++
2016-4-15,0,0,9,NYY,SEA,4-5,3,3.5,N,35531,---
2016-4-16,1,0,10,NYY,SEA,4-6,3,3.5,D,38574,----
2016-4-17,1,1,11,NYY,SEA,5-6,3,3.0,D,43856,+
2016-4-19,0,0,12,NYY,OAK,5-7,5,3.0,N,31952,-
2016-4-20,0,1,13,NYY,OAK,5-8,5,4.0,N,37396,--
2016-4-21,0,0,14,NYY,OAK,5-9,5,5.0,N,33818,---
2016-4-22,0,0,15,NYY,TBR,6-9,5,4.0,N,31843,+
2016-4-23,1,1,16,NYY,TBR,7-9,4,4.0,D,40714,++
2016-4-24,1,0,17,NYY,TBR,7-10,5,4.0,D,40981,-
2016-5-6,0,0,27,NYY,BOS,10-17,5,6.0,N,45756,+
2016-5-7,1,1,28,NYY,BOS,11-17,5,5.5,D,47822,++
2016-5-8,1,0,29,NYY,BOS,11-18,5,6.5,N,41869,-
2016-5-9,0,1,30,NYY,KCR,12-18,5,6.0,N,41243,+
2016-5-10,0,1,31,NYY,KCR,13-18,5,6.0,N,39128,++
2016-5-11,0,0,32,NYY,KCR,13-19,5,7.0,N,31226,-
2016-5-12,0,1,33,NYY,KCR,14-19,5,7.0,N,35944,+
2016-5-13,0,1,34,NYY,CHW,14-20,5,8.0,N,34264,-
2016-5-14,1,1,35,NYY,CHW,15-20,5,8.0,D,39691,+
2016-5-15,1,1,36,NYY,CHW,16-20,5,7.0,D,41979,++
2016-5-24,0,0,44,NYY,TOR,22-22,3,5.5,N,35174,++++++
2016-5-25,0,0,45,NYY,TOR,22-23,3,6.5,N,38959,-
2016-5-26,0,1,46,NYY,TOR,22-24,4,6.5,D,38391,--
2016-6-6,0,0,57,NYY,LAA,27-30,4,6.5,N,34648,+
2016-6-7,0,0,58,NYY,LAA,28-30,4,6.5,N,31034,++
2016-6-8,0,0,59,NYY,LAA,29-30,4,6.5,N,31557,+++
2016-6-9,0,0,60,NYY,LAA,30-30,4,6.5,N,34971,++++
2016-6-10,0,0,61,NYY,DET,31-30,4,5.5,N,40011,+++++
2016-6-11,1,0,62,NYY,DET,31-31,4,5.5,N,38050,-
2016-6-12,1,1,63,NYY,DET,31-32,4,5.5,D,47474,--
2016-6-21,0,0,70,NYY,COL,34-36,4,6.0,N,34760,--
2016-6-22,0,1,71,NYY,COL,35-36,4,6.0,D,40104,+
2016-6-24,0,1,72,NYY,MIN,36-36,4,6.0,N,44808,++
2016-6-25,1,1,73,NYY,MIN,37-36,4,6.5,D,40075,+++
2016-6-26,1,1,74,NYY,MIN,37-37,4,7.5,D,38673,-
2016-6-27,0,0,75,NYY,TEX,37-38,4,8.0,N,32914,--
2016-6-28,0,1,76,NYY,TEX,37-39,4,9.0,N,32373,---
2016-6-29,0,1,77,NYY,TEX,38-39,4,9.0,N,39875,+
2016-6-30,0,1,78,NYY,TEX,39-39,4,8.0,D,39934,++
2016-7-15,0,1,89,NYY,BOS,44-45,4,8.5,N,47439,-
2016-7-16,1,0,90,NYY,BOS,44-46,4,9.5,D,48329,--
2016-7-17,1,0,91,NYY,BOS,45-46,4,8.5,N,42884,+
2016-7-18,0,1,92,NYY,BAL,46-46,4,7.5,N,31102,++
2016-7-19,0,1,93,NYY,BAL,47-46,4,6.5,N,31192,+++
2016-7-20,0,1,94,NYY,BAL,48-46,4,6.0,N,35681,++++
2016-7-21,0,1,95,NYY,BAL,48-47,4,7.0,D,42476,-
2016-7-22,0,1,96,NYY,SFG,49-47,4,6.5,N,45304,+
2016-7-23,1,1,97,NYY,SFG,49-48,4,7.5,D,46727,-
2016-7-24,1,0,98,NYY,SFG,50-48,4,7.5,D,34143,+
2016-8-3,0,0,107,NYY,NYM,54-53,4,7.5,N,48339,+
2016-8-4,0,0,108,NYY,NYM,54-54,4,7.5,N,48153,-
2016-8-5,0,1,109,NYY,CLE,55-54,4,7.5,N,39252,+
2016-8-6,1,1,110,NYY,CLE,55-55,4,7.5,D,37264,-
2016-8-7,1,1,111,NYY,CLE,56-55,4,7.5,D,39720,+
2016-8-12,0,1,115,NYY,TBR,59-56,4,6.0,N,46459,+++
2016-8-13,1,1,116,NYY,TBR,60-56,4,5.5,D,41682,++++
2016-8-14,1,1,117,NYY,TBR,60-57,4,6.5,D,41473,-
2016-8-15,0,1,118,NYY,TOR,61-57,4,5.5,N,36015,+
2016-8-16,0,1,119,NYY,TOR,61-58,4,6.5,N,31874,-
2016-8-17,0,1,120,NYY,TOR,61-59,4,7.5,D,37736,--
2016-8-26,0,1,127,NYY,BAL,66-61,4,5.5,N,38423,+++
2016-8-27,1,1,128,NYY,BAL,67-61,4,5.5,D,38843,++++
2016-8-28,1,1,129,NYY,BAL,67-62,4,6.5,D,38002,-
2016-9-5,0,1,136,NYY,TOR,71-65,4,5.5,D,42141,++
2016-9-6,0,1,137,NYY,TOR,72-65,4,4.5,N,27532,+++
2016-9-7,0,1,138,NYY,TOR,73-65,4,4.5,N,30501,++++
2016-9-8,0,1,139,NYY,TBR,74-65,4,4.0,N,27631,+++++
2016-9-9,0,1,140,NYY,TBR,75-65,4,4.0,N,30194,++++++
2016-9-10,1,1,141,NYY,TBR,76-65,4,3.0,D,33460,+++++++
2016-9-11,1,1,142,NYY,TBR,76-66,4,4.0,D,33087,-
2016-9-12,0,0,143,NYY,LAD,76-67,4,5.0,N,32058,--
2016-9-13,0,1,144,NYY,LAD,77-67,4,4.0,N,32615,+
2016-9-14,0,1,145,NYY,LAD,77-68,4,4.0,D,30254,-
2016-9-27,0,0,157,NYY,BOS,81-76,4,11.0,N,35161,++
2016-9-28,0,0,158,NYY,BOS,82-76,4,10.0,N,35520,+++
2016-9-29,0,0,159,NYY,BOS,83-76,4,9.0,N,41597,++++
2016-9-30,0,1,160,NYY,BAL,83-77,4,10.0,N,33955,-
2016-10-1,1,1,161,NYY,BAL,84-77,4,9.0,D,33222,+
2016-10-2,1,1,162,NYY,BAL,84-78,4,9.0,D,33277,-
