Date,Weekend,Promotion,Gm#,Tm,Opp,W-L,Rank,GB,D/N,Attendance,Streak
2011-9-5,0,1,139,NYY,BAL,86-53,1,up 2.5,D,45069,+++++
2011-9-6,0,1,140,NYY,BAL,87-53,1,up 2.5,N,44573,++++++
2011-9-7,0,1,141,NYY,BAL,87-54,1,up 2.5,D,40104,-
2011-9-19,0,1,152,NYY,MIN,92-60,1,up 5.0,D,40045,+
2011-9-20,0,1,153,NYY,TBR,93-60,1,up 6.0,N,46944,++
2011-9-21,0,1,154,NYY,TBR,94-60,1,up 7.5,D,42755,+++
2011-9-21,0,1,155,NYY,TBR,95-60,1,up 7.5,N,45586,++++
2011-9-22,0,1,156,NYY,TBR,95-61,1,up 7.0,N,47470,-
2011-9-24,1,1,157,NYY,BOS,96-61,1,up 8.0,D,49556,+
2011-9-25,1,1,158,NYY,BOS,97-61,1,up 8.0,D,49541,++
2011-9-25,1,1,159,NYY,BOS,97-62,1,up 8.0,N,49072,-
Date,Weekend,Promotion,Gm#,Tm,Opp,W-L,Rank,GB,D/N,Attendance,Streak
2012-4-13,0,0,7,NYY,LAA,4-3,1,Tied,D,49386,++++
2012-4-14,1,0,8,NYY,LAA,4-4,2,1.0,D,46829,-
2012-4-15,1,0,9,NYY,LAA,5-4,1,Tied,N,41055,+
2012-4-16,0,1,10,NYY,MIN,5-5,3,1.0,N,40218,-
2012-4-17,0,0,11,NYY,MIN,6-5,3,1.0,N,40194,+
2012-4-18,0,1,12,NYY,MIN,6-6,3,1.0,N,36831,-
2012-4-19,0,1,13,NYY,MIN,7-6,2,1.0,N,40327,+
2012-4-27,0,0,19,NYY,DET,11-8,3,1.5,N,41200,+
2012-4-28,1,1,20,NYY,DET,11-9,3,1.5,D,44686,-
2012-4-29,1,1,21,NYY,DET,12-9,3,1.5,D,43084,+
2012-4-30,0,0,22,NYY,BAL,13-9,3,1.5,N,36890,++
2012-5-1,0,0,23,NYY,BAL,13-10,3,2.5,N,37790,-
2012-5-2,0,0,24,NYY,BAL,13-11,4,3.5,N,39360,--
2012-5-8,0,1,29,NYY,TBR,16-13,3,2.5,N,37086,++
2012-5-9,0,1,30,NYY,TBR,16-14,4,3.5,N,38024,-
2012-5-10,0,1,31,NYY,TBR,17-14,4,2.5,N,37720,+
2012-5-11,0,0,32,NYY,SEA,18-14,3,2.5,N,37226,++
2012-5-12,1,1,33,NYY,SEA,19-14,3,2.5,D,43954,+++
2012-5-13,1,1,34,NYY,SEA,19-15,3,2.5,D,41631,-
2012-5-18,0,1,39,NYY,CIN,21-18,4,4.5,N,42015,+
2012-5-19,1,1,40,NYY,CIN,21-19,4,5.5,D,45302,-
2012-5-20,1,1,41,NYY,CIN,21-20,4,5.5,D,45622,--
2012-5-21,0,0,42,NYY,KCR,21-21,4,5.5,N,39229,---
2012-5-22,0,0,43,NYY,KCR,22-21,4,5.5,N,37674,+
2012-5-23,0,0,44,NYY,KCR,23-21,4,4.5,N,40407,++
2012-6-5,0,0,54,NYY,TBR,30-24,3,0.5,N,40537,++
2012-6-6,0,0,55,NYY,TBR,31-24,2,0.5,N,38370,+++
2012-6-7,0,1,56,NYY,TBR,31-25,3,0.5,N,39891,-
2012-6-8,0,0,57,NYY,NYM,32-25,2,0.5,N,48566,+
2012-6-9,1,0,58,NYY,NYM,33-25,2,0.5,N,48575,++
2012-6-10,1,0,59,NYY,NYM,34-25,2,0.5,D,49010,+++
2012-6-18,0,1,66,NYY,ATL,41-25,1,up 2.5,N,42709,++++++++++
2012-6-19,0,0,67,NYY,ATL,41-26,1,up 2.5,N,41219,-
2012-6-20,0,1,68,NYY,ATL,41-27,1,up 2.5,D,45094,--
2012-6-25,0,1,72,NYY,CLE,44-28,1,up 3.0,N,42290,+++
2012-6-26,0,1,73,NYY,CLE,45-28,1,up 4.0,N,43006,++++
2012-6-27,0,1,74,NYY,CLE,46-28,1,up 5.0,D,45099,+++++
2012-6-28,0,0,75,NYY,CHW,46-29,1,up 5.0,N,44041,-
2012-6-29,0,0,76,NYY,CHW,46-30,1,up 4.0,N,44265,--
2012-6-30,1,1,77,NYY,CHW,47-30,1,up 5.0,D,46895,+
2012-7-1,1,1,78,NYY,CHW,48-30,1,up 6.0,D,48324,++
2012-7-13,0,1,86,NYY,LAA,53-33,1,up 8.0,N,47873,++
2012-7-14,1,1,87,NYY,LAA,54-33,1,up 8.0,D,47789,+++
