Gm#,MeanTemperatureF,MeanHumidity,MeanVisibilityMiles,MeanWindSpeedMPH,Events,Weekend,Promotion,Opp,W,L,Rank,D/N,Streak,GB,Attendance
75,75,71,8,5,Rain,0,0,TEX,37,38,4,0,--,-8,32914
76,72,88,6,4,Rain,0,1,TEX,37,39,4,0,---,-9,32373
77,75,67,7,2,Rain,0,1,TEX,38,39,4,0,+,-9,39875
78,76,51,10,3,None,0,1,TEX,39,39,4,1,++,-8,39934
89,84,63,9,4,None,0,1,BOS,44,45,4,0,-,-8.5,47439
90,83,57,9,4,None,1,0,BOS,44,46,4,1,--,-9.5,48329
91,82,59,9,3,None,1,0,BOS,45,46,4,0,+,-8.5,42884
92,83,67,8,6,Rain,0,1,BAL,46,46,4,0,++,-7.5,31102
93,78,57,9,5,None,0,1,BAL,47,46,4,0,+++,-6.5,31192
94,77,45,10,3,None,0,1,BAL,48,46,4,0,++++,-6,35681
95,81,57,9,5,None,0,1,BAL,48,47,4,1,-,-7,42476
96,84,63,8,7,None,0,1,SFG,49,47,4,0,+,-6.5,45304
97,88,42,9,5,None,1,1,SFG,49,48,4,1,-,-7.5,46727
98,85,46,9,4,None,1,0,SFG,50,48,4,1,+,-7.5,34143
107,73,63,9,3,None,0,0,NYM,54,53,4,0,+,-7.5,48339
108,74,66,9,2,None,0,0,NYM,54,54,4,0,-,-7.5,48153
109,76,62,9,4,None,0,1,CLE,55,54,4,0,+,-7.5,39252
110,80,67,8,5,Rain,1,1,CLE,55,55,4,1,-,-7.5,37264
111,78,52,10,4,None,1,1,CLE,56,55,4,1,+,-7.5,39720
115,83,75,7,5,Rain,0,1,TBR,59,56,4,0,+++,-6,46459
116,89,68,8,4,None,1,1,TBR,60,56,4,1,++++,-5.5,41682
117,86,70,9,4,Rain,1,1,TBR,60,57,4,1,-,-6.5,41473
118,85,60,9,3,None,0,1,TOR,61,57,4,0,+,-5.5,36015
119,83,77,7,4,Rain,0,1,TOR,61,58,4,0,-,-6.5,31874
120,81,65,10,5,None,0,1,TOR,61,59,4,1,--,-7.5,37736
127,83,61,9,5,None,0,1,BAL,66,61,4,0,+++,-5.5,38423
128,82,47,10,3,None,1,1,BAL,67,61,4,1,++++,-5.5,38843
129,81,62,9,2,None,1,1,BAL,67,62,4,1,-,-6.5,38002
136,75,48,10,8,None,0,1,TOR,71,65,4,1,++,-5.5,42141
137,76,65,10,10,None,0,1,TOR,72,65,4,0,+++,-4.5,27532
138,78,70,9,6,None,0,1,TOR,73,65,4,0,++++,-4.5,30501
139,80,69,8,3,None,0,1,TBR,74,65,4,0,+++++,-4,27631
140,83,71,8,4,Rain,0,1,TBR,75,65,4,0,++++++,-4,30194
141,82,77,6,4,None,1,1,TBR,76,65,4,1,+++++++,-3,33460
142,75,59,9,6,None,1,1,TBR,76,66,4,1,-,-4,33087
143,70,54,10,4,None,0,0,LAD,76,67,4,0,--,-5,32058
144,74,62,10,4,None,0,1,LAD,77,67,4,0,+,-4,32615
145,79,58,7,5,Fog-Rain,0,1,LAD,77,68,4,1,-,-4,30254
157,69,67,8,3,Rain,0,0,BOS,81,76,4,0,++,-11,35161
158,63,80,8,8,None,0,0,BOS,82,76,4,0,+++,-10,35520
159,61,75,9,11,None,0,0,BOS,83,76,4,0,++++,-9,41597
160,58,83,4,10,Rain,0,1,BAL,83,77,4,0,-,-10,33955
161,59,86,9,8,None,1,1,BAL,84,77,4,1,+,-9,33222
162,60,86,8,3,None,1,1,BAL,84,78,4,1,-,-9,33277
